sku	name	weight	height	width	depth
/9325024112425	Salon Smart Premium Salon Single Towel Black	0	0	0	0
685674759609	Teelixir Red Pine Needle Oil 30ml	0	0	0	0
9314807008765	Brut Refresh Aftershave Lotion	0	0	0	0
/5202236157755	ERRE DUE Radiance Cream 400 Queen For A Day	0	0	0	0
/5202236159896	ERRE DUE Radiance Cream 401 Melting Queen	0	0	0	0
/5202236143260	ERRE DUE Satin Eyeshadow 306 Military Pants	0	0	0	0
/5202236143307	ERRE DUE Satin Eyeshadow 310 Dare To Dream	0	0	0	0
/5202236143314	ERRE DUE Satin Eyeshadow 311 Midnight Mood	0	0	0	0
/5202236187011	ERRE DUE Sheer Lipstick 501 Pixie Dust	0	0	0	0
/5202236159292	ERRE DUE Silky Premium Eye Definer 24hrs 405 Malt	0	0	0	0
/5202236159391	ERRE DUE Silky Premium Eye Definer 24hrs 415 Pansy	0	0	0	0
/5202236159407	ERRE DUE Silky Premium Eye Definer 24hrs 416 Fig	0	0	0	0
/5202236159414	ERRE DUE Silky Premium Eye Definer 24hrs 417 Grape	0	0	0	0
/5202236159421	ERRE DUE Silky Premium Eye Definer 24hrs 418 Plum	0	0	0	0
/5202236159445	ERRE DUE Silky Premium Eye Definer 24hrs 420 Raisin	0	0	0	0
/5202236159469	ERRE DUE Silky Premium Lip Definer 502 Rose	0	0	0	0
/5202236159483	ERRE DUE Silky Premium Lip Definer 504 Spicy	0	0	0	0
/5202236159513	ERRE DUE Silky Premium Lip Definer 507 Syrah	0	0	0	0
/5202236159537	ERRE DUE Silky Premium Lip Definer 509 Ruby	0	0	0	0
/5202236159551	ERRE DUE Silky Premium Lip Definer 511 Scarlet	0	0	0	0
/5202236159575	ERRE DUE Silky Premium Lip Definer 513 Magenta	0	0	0	0
/5202236159582	ERRE DUE Silky Premium Lip Definer 514 Gum	0	0	0	0
/5202236159605	ERRE DUE Silky Premium Lip Definer 516 Punch	0	0	0	0
/5202236159612	ERRE DUE Silky Premium Lip Definer 517 Autumn	0	0	0	0
/5202236159636	ERRE DUE Silky Premium Lip Definer 519 Muffin	0	0	0	0
/5202236159643	ERRE DUE Silky Premium Lip Definer 520 Cookie	0	0	0	0
/5202236116059	ERRE DUE Skin Perfection Foundation 05 Honey Beige	0	0	0	0
/5202236116066	ERRE DUE Skin Perfection Foundation 06 Brown Sugar	0	0	0	0
/5202236116035	ERRE DUE Skin Perfection Foundation 03 Creme Brulee	0	0	0	0
/5202236116042	ERRE DUE Skin Perfection Foundation 04 Neutral	0	0	0	0
/5202236116073	ERRE DUE Skin Perfection Foundation 07 Praline	0	0	0	0
/5202236137610	ERRE DUE Smooth Stick Concealer 201 Light	0	0	0	0
/5202236137634	ERRE DUE Smooth Stick Concealer 03	0	0	0	0
/5202236154020	ERRE DUE Sparkling Powder 402 Endless Summer	0	0	0	0
/5202236205050	ERRE DUE True Cover Concealer 105 Sand	0	0	0	0
93327381	Ego SOOV Bite 25g	0	0	0	0
4021457625185	Lavera Protect & Repair Lip Balm 4.5g	0	0	0	0
9326628238078	Pain Away atheLITE Heat Patches 7 Pack	0	0	0	0
9326628088888	Pain Away Forte+ Arthritis Pain Relief Cream 70g	0	0	0	0
9326628141088	Pain Away Forte+ Arthritis Pain Relief Spray 100ml	0	0	0	0
9326628106889	Pain Away Forte+ Ultra Pro Joint & Muscle Pain Relief Cream 70g	0	0	0	0
9326628291080	Pain Away Forte+ Ultra Pro Joint & Muscle Pain Relief Spray 100ml	0	0	0	0
754523953700	Macro Mike Cookie Dough Powdered Peanut Butter 180g	0	0	0	0
746935313814	Macro Mike White Choc Chip Cookie Baking Mix 300g	0	0	0	0
706502322281	Macro Mike Choc Hazelnut Powdered Peanut Butter 180g	0	0	0	0
9312658918806	In Essence ie Breathe Essential Oil Blend 25ml	120	12	5	0
9421906730432	Antipodes Diem Vitamin C Water Cream 60ml	0	0	0	0
074764632517	Ardell ECOLASHES 450	0	0	0	0
/74764632524	Ardell ECOLASHES 451	0	0	0	0
/74764632548	Ardell ECOLASHES 453	0	0	0	0
074764632555	Ardell ECOLASHES 454	0	0	0	0
/074764632562	Ardell ECOLASHES 455	0	0	0	0
9314839019135	Ego QV Dermcare Daily Cream 1kg	0	0	0	0
5060224500200	Oral 7 Mouth Spray 50ml	0	0	0	0
9329771000837	Prospan Chesty Cough Relief Menthol 200ml	0	0	0	0
/9312146012191	Thursday Plantation Headache Peppermint Oil Roll-On 9ml	0	0	0	0
/5202236159971	ERRE DUE Ultimate Camouflage Cream 301 Ginger	0	0	0	0
/5202236159988	ERRE DUE Ultimate Camouflage Cream 302 Almond	0	0	0	0
/5202236160014	ERRE DUE Ultimate Camouflage Cream 304 Caramel	0	0	0	0
/5202236119111	ERRE DUE Waterproof Eye Designer 101 Mushroom	0	0	0	0
/5202236119135	ERRE DUE Waterproof Eye Designer 103 Ash	0	0	0	0
/5202236119142	ERRE DUE Waterproof Eye Designer 104 Cassis	0	0	0	0
/5202236119159	ERRE DUE Waterproof Eye Designer 105 Cadbury	0	0	0	0
/5202236119166	ERRE DUE Waterproof Eye Designer 106 Mulberry	0	0	0	0
/5202236119197	ERRE DUE Waterproof Eye Designer 109 Sepia	0	0	0	0
/5202236119210	ERRE DUE Waterproof Eye Designer 111 Peacock	0	0	0	0
/5202236119227	ERRE DUE Waterproof Eye Designer 112 Scuba	0	0	0	0
/5202236119234	ERRE DUE Waterproof Eye Designer 113 Aquatic	0	0	0	0
/5202236119258	ERRE DUE Waterproof Eye Designer 115 Indigo	0	0	0	0
/5202236119517	ERRE DUE Waterproof Lip Designer 201 Nude	0	0	0	0
/5202236119524	ERRE DUE Waterproof Lip Designer 202 Naked	0	0	0	0
/5202236119548	ERRE DUE Waterproof Lip Designer 204 Dusty Pink	0	0	0	0
/5202236119555	ERRE DUE Waterproof Lip Designer 205 Fragile Rose	0	0	0	0
/5202236119562	ERRE DUE Waterproof Lip Designer 206 Nostalgic	0	0	0	0
/5202236119579	ERRE DUE Waterproof Lip Designer 207 Blooming	0	0	0	0
/5202236119586	ERRE DUE Waterproof Lip Designer 208 Beloved	0	0	0	0
/5202236119609	ERRE DUE Waterproof Lip Designer 210 Marsala	0	0	0	0
/5202236119623	ERRE DUE Waterproof Lip Designer 212 Cerise	0	0	0	0
/5202236119630	ERRE DUE Waterproof Lip Designer 213 Boysenberry	0	0	0	0
/5202236119647	ERRE DUE Waterproof Lip Designer 214 Poppy Red	0	0	0	0
/5202236119654	ERRE DUE Waterproof Lip Designer 215 Bloodshoot	0	0	0	0
/5202236119661	ERRE DUE Waterproof Lip Designer 216 Passionate	0	0	0	0
/5202236119678	ERRE DUE Waterproof Lip Designer 217 Blushing	0	0	0	0
/5202236119685	ERRE DUE Waterproof Lip Designer 218 Cozy	0	0	0	0
/5202236119715	ERRE DUE Waterproof Lip Designer 221 Very Berry	0	0	0	0
/5202236125525	ERRE DUE Water-Resistant Protective Powder SPF25 502 Truly Beige	0	0	0	0
/5202236160021	ERRE DUE BB Body Bronzer 501 Caribbean Sun	0	0	0	0
/5202236158660	ERRE DUE Blusher 107 Apple Pie	0	0	0	0
/5202236160090	ERRE DUE Bronzing Powder 301 Summer Glow	0	0	0	0
/5202236159919	ERRE DUE Bronzing Powder Limited Edition 202 Sahara Dunes	0	0	0	0
/5202236134626	ERRE DUE DD Cream 102 Medium	0	0	0	0
/5202236187509	ERRE DUE Full Color Metallic Lipstick 550 Trues & Lies	0	0	0	0
/5202236198611	ERRE DUE Kiss Me Forever Lipstick 51	0	0	0	0
/5202236159834	ERRE DUE Kissproof Matte Lip Color 704 Rodeo Drive	0	0	0	0
