sku,name,on_web,soh_web,price,petrie,bunda,con,franklin,web,total,is_deleted_minfos,is_deleted,is_visible,is_retired,num_tiggles,bcid
778988434048,PUSHEEN - SIPS SBRRY MILK,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544971683,\XMAS18 - PUSHEEN ORNAMENT MERMAID,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
778988475171,PUSHEEN - SUPER PUSHEENUNICORN STANDING,FALSE,0,64.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399092031,PUSHEEN - VALENTINES CUPID,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918655779,PUSHEEN - PATISSERIE PLUSH PENCIL CASE,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918613205,PUSHEEN - KEYRING,FALSE,0,9.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988458389,PUSHEEN - TOE BEANS 28CM,FALSE,0,64.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475102,PUSHEEN - BLIND BOX SERIES 10,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5060491770672,PUSHEEN - SNACK BOX 4PC,FALSE,0,26.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544958363,PUSHEEN - MUG DONUT,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544953122,PUSHEEN - RICE BOWL W/CHOPSTICKS,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918650484,PUSHEEN DESSERT MINI BACKPACK KEYRING,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399086757,PUSHEEN - BLIND BOX SERIES 1,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399101696,PUSHEEN - MERMAID STAR 18CM,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121618,PUSHEEN - BACKPACK CLIP PIP,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988318133,PUSHEEN - PUSHEENICORN DONUT 24CM,FALSE,0,59.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544958400,PUSHEEN - SNACK BOWL ICE CREAM,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988480274,PUSHEEN - SQUISHEEN BLUE SITTING POSE,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640409,PUSHEEN - BALLPEN 2D TOP POMPOM,FALSE,0,6.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544971706,\XMAS18 - PUSHEEN ORNAMENT REINDEER,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
28399319961,PUSHEEN - FACET,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918613281,PUSHEEN - TRAVEL SET,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399073856,PUSHEEN - PLUSH PASTEL PRPL SM,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918626168,PUSHEEN - MONEY BOX,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399114146,PUSHEEN - BACKPACK CLIP DLX FANCY UNICRN,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544953351,PUSHEEN - TEAPOT TEA REX,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640478,PUSHEEN - DESK PAD THINGS TO DO,FALSE,0,9.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918656240,PUSHEEN - FRIENDSHIP SET,FALSE,0,14.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
5055918650729,PUSHEEN DESSERT MACARON ZIP PURSE,FALSE,0,14.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399108015,PUSHEEN - BACKPACK CLIP PIZZA,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121519,PUSHEEN - HEADBAND,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055071777608,PUSHEEN - MATCHBOOK NAIL FILES,FALSE,0,1.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918649129,PUSHEEN - PEN CUTE & FIERCE,FALSE,0,7.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475010,PUSHEEN - SQUISHEEN PINK,FALSE,0,64.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918659401,PUSHEEN - ICE CREAM PEN SET,TRUE,1,22.95,0,0,0,1,1,1,FALSE,FALSE,TRUE,FALSE,0,13106
5060491777114,PUSHEEN - MYSTERY MINIS SERIES 1,FALSE,0,15.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918656233,PUSHEEN - PEN BALL POMPOM,FALSE,0,5.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
28399121250,\XMAS19 PUSHEEN CHRISTMAS R/DEER GUDEAMA,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
778988475096,PUSHEEN - SCREEN CLEANER,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918650286,PUSHEEN - PENCIL CASE PLUSH,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918644490,PUSHEEN - SD MUG NAP TIME,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918654475,PUSHEEN - PENCIL CASE TIE DYE PVC,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399109487,PUSHEEN - PIP LITTLE BROTHER,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544950213,\XMAS18 - PUSHEEN ORNAMENT MAG UNICORN,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
28399121670,PUSHEEN - WINTER PIP 12.5CM,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544954488,\EASTER19 PUSHEEN TIN EGG ORMNT RAINY DA,FALSE,0,7.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
28399111800,PUSHEEN - HALLOWEEN WITCH SML,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544935708,\XMAS18 - PUSHEEN WATERDAZZLER GLOBE,FALSE,0,44.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
28399121694,PUSHEEN - WINTER SLOTH 20CM,FALSE,0,36.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988317945,EASTER23 PUSHEEN CHOC BUNNY,FALSE,0,49.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
28399073986,PUSHEEN - BACKPACK CLIP SUNGLASSES,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988434222,PUSHEEN - SIPS CHOC MILK,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399107872,PUSHEEN - BACKPACK CLIP PUSHEEN STORMY,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918656295,PUSHEEN - BEAKER & STRAW,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121656,PUSHEEN - WINTER SWEATER 23CM,FALSE,0,54.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399073863,PUSHEEN - PASTEL PLUSH MINT SM 15CM,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399097128,PUSHEEN - BAKING COLLECTOR SET,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544954464,\EASTER19 PUSHEEN TIN EGG ORMNT BOUQUET,FALSE,0,7.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
