ID,ProductID,Sku,SkuID,Price,CalculatedPrice,SalePrice,RetailPrice,Weight,CalculatedWeight,Width,Height,Depth,IsFreeShipping,FixedCostShippingPrice,PurchasingDisabled,PurchasingDisabledMessage,ImageURL,CostPrice,Upc,Mpn,Gtin,InventoryLevel,InventoryWarningLevel,BinPickingNumber,OptionValues
1190,1140,9310320080110,0,10.95,10.95,0,0,43,43,7.5,18,3,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1140/images/1212/First-Response-Instream-Pregnancy-Test-1-Pack-1__28337.1610075099.386.513.jpg?c=1,5.62,9310320080110,,9310320080110,51,5,,[]
1192,1142,9341824000618,0,19.95,19.95,0,0,31,31,7.5,14,2.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1142/images/1217/Lanolips-The-Original-101-Ointment-Multipurpose-Superbalm-15g-1__93586.1610075100.386.513.jpg?c=1,11.48,9341824000618,,9341824000618,4,5,,[]
1194,1144,9341824000007,0,16.95,16.95,0,0,100,100,5.5,16,3.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1144/images/6039/1._MAIN_LANO_HAND_CREAM_INTENSE_ROSE_0c51f075-6864-492b-a96a-de4ba8368385_540x__59078.1654142058.386.513.png?c=1,10.27,9341824000007,,9341824000007,5,5,,[]
1196,1146,9341824000069,0,16.95,16.95,0,0,27,27,7.7,12.7,2.7,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1146/images/1228/Lanolips-Lemonaid-Lanolin-Lip-Treatment-125g-1__05512.1610075102.386.513.jpg?c=1,10.27,9341824000069,,9341824000069,12,5,,[]
1197,1147,9341824000113,0,15.95,15.95,0,0,50,50,8,12,3,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1147/images/1231/Lanolips-Tinted-Lanolin-Lip-Balm-SPF30-Rose-125g-1__58561.1610075102.386.513.jpg?c=1,9.06,9341824000113,,9341824000113,8,5,,[]
1198,1148,9341824000120,0,15.95,15.95,0,0,27,27,7.7,12.7,2.7,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1148/images/1232/Lanolips-Tinted-Lanolin-Lip-Balm-SPF30-Rhubarb-125g-1__40438.1610075102.386.513.jpg?c=1,9.06,9341824000120,,9341824000120,1,5,,[]
1199,1149,9341824000601,0,15.95,15.95,0,0,26,26,7.5,12.5,2.2,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1149/images/1234/Lanolips-Tinted-Lanolin-Lip-Balm-SPF30-Perfect-Nude-125g-1__31843.1610075103.386.513.jpg?c=1,9.06,9341824000601,,9341824000601,10,5,,[]
1212,1162,9344344000601,0,9.95,9.95,0,0,58,58,10.5,17,10.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1162/images/5264/Healing-Concepts-Organic-Elderberries-Tea-50g_media-01__17064.1616543627.386.513.jpg?c=1,5.8,9344344000601,,9344344000601,2,5,,[]
1213,1163,9344344000465,0,9.95,9.95,0,0,59,59,10.5,17,10.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1163/images/5262/Healing-Concepts-Organic-Astragalus-Tea-50g_media-01__33002.1616543498.386.513.jpg?c=1,5.6,9344344000465,,9344344000465,1,5,,[]
1214,1164,9344344000618,0,9.95,9.95,0,0,59,59,21,13,21,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1164/images/5266/Healing-Concepts-Organic-Elderflowers-Tea-50g_media-01__00896.1616543835.386.513.jpg?c=1,6.4,9344344000618,,9344344000618,0,5,,[]
1215,1165,9344344000656,0,9.95,9.95,0,0,60,60,13,21,13,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1165/images/5268/Healing-Concepts-Organic-Ginkgo-Tea-50g_media-01__28395.1616543865.386.513.jpg?c=1,6.1,9344344000656,,9344344000656,3,5,,[]
1216,1166,9344344000755,0,9.95,9.95,0,0,42,42,13,21,13,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1166/images/5270/Healing-Concepts-Organic-Lemon-Balm-Tea-40g_media-01__35959.1616543897.386.513.jpg?c=1,6.4,9344344000755,,9344344000755,2,5,,[]
1218,1168,/732013301354,0,56.95,45.56,45.56,0,265,265,6.2,19,5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1168/images/1250/NEOSTRATARestoreFacialCleanser200mL1__31097.1610075106.386.513.jpg?c=1,31.22,732013301354,,732013301354,1,5,,[]
1226,1176,/32013301460,0,56.95,45.56,45.56,0,220,220,5.6,17.7,5.6,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1176/images/1274/NEOSTRATA-Skin-Active-Exfoliating-Wash-125mL-1__78125.1610075111.386.513.jpg?c=1,28.67,732013301460,,732013301460,9,2,,[]
1228,1178,/732013301491,0,76.95,61.56,61.56,0,50,50,5,16,4,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1178/images/1280/Neostrata-Skin-Active-Matrix-Support-Day-Cream-50g-1__57748.1610075112.386.513.jpg?c=1,42.59,732013301491,,732013301491,4,2,,[]
1240,1190,94184006,0,29.95,29.95,0,0,50,50,5.2,11.5,3.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1190/images/1317/Antipodes-Divine-Face-Oil-Rosehip-%2526-Avocado-Oil-30ml1__65796.1610075118.386.513.jpg?c=1,19.01,94184006,,94184006,1,5,,[]
1243,1193,9421900569786,0,49.95,49.95,0,0,96,96,5.3,11.5,3.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1193/images/1323/Antipodes-Hosanna-H2O-Intensive-Skin-Plumping-Serum-30ml1__52955.1610075119.386.513.jpg?c=1,19.6,9421900569786,,9421900569786,7,5,,[]
1244,1194,9421905119450,0,69.95,69.95,0,0,100,100,6,6,6,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1194/images/1326/Antipodes-Kiwi-Seed-Gold-Luminous-Eye-Cream-30ml1__07469.1610075119.386.513.jpg?c=1,30.6,9421905119450,,9421905119450,5,5,,[]
1245,1195,9421903925169,0,19.95,19.95,0,0,24,24,2,7.9,2,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1195/images/1329/Antipodes-Kiwi-Seed-Oil-Lip-Conditioner-4g1__03280.1610075120.386.513.jpg?c=1,12,9421903925169,,9421903925169,1,5,,[]
1247,1197,9421903096883,0,15.95,15.95,0,0,100,100,4,14,4,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1197/images/19889/32159__11763.1672717123.386.513.jpg?c=1,8.5,9421903096883,,9421903096883,1,5,,[]
1249,1199,/9421900569076,0,49.95,49.95,0,0,96,96,4,16,4.5,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1199/images/1341/Antipodes-Aura-Manuka-Honey-Mask-75ml1__92016.1610075122.386.513.jpg?c=1,24.5,9421900569076,,9421900569076,1,5,,[]
1250,1200,9421900569021,0,53.95,53.95,0,0,150,150,5.5,6.7,5.3,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1200/images/1344/Antipodes-Vanilla-Pod-Hydrating-Day-Cream-60ml1__07949.1610075122.386.513.jpg?c=1,23.79,9421900569021,,9421900569021,5,5,,[]
1252,1202,9310160815101,0,41.95,41.95,0,0,800,800,13,15.5,13,false,9.95,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1202/images/2152/Novolac-Colic-Premium-Infant-Formula-800g-1__91560.1610684034.386.513.jpg?c=1,29.6,9310160815101,,9310160815101,5,5,,[]
1256,1206,9310160815002,0,41.95,41.95,0,0,800,800,13,15.5,13,false,9.95,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1206/images/2165/Novolac-Constipation-Premium-Infant-Formula-800g-1__79340.1610684037.386.513.jpg?c=1,31.07,9310160815002,,9310160815002,0,5,,[]
1257,1207,9310160815019,0,37.95,37.95,0,0,800,800,13,15,13,false,9.95,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1207/images/2169/Novolac-Reflux-Premium-Infant-Formula-800g-1__37942.1610684038.386.513.jpg?c=1,28.72,9310160815019,,9310160815019,4,5,,[]
1280,1221,9350181004375,0,9.95,9.95,0,0,200,200,12,20,10,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1221/images/5231/Botanika-Blends-Vegan-Protein-Custard-Vanilla-Cinnamon-120g-1__24549.1616391248.386.513.png?c=1,6.22,9350181004375,,9350181004375,5,5,,[]
1347,1274,9338817019047,0,19.95,19.95,0,0,230,230,5.9,7,5.9,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1274/images/7817/CIRCA_Refresh_eComProductImages_2048x2048_60gCandle_JasmineMagnolia_Front_4f33ce9f-1f4d-4704-8ca8-7e37345e7f39_2048x2048__29886.1630283208.386.513.png?c=1,8.8,9338817019047,,9338817019047,5,5,,[]
1348,1275,9338817019153,0,39.95,39.95,0,0,964,964,9.8,12.3,9.8,false,0,false,,https://cdn11.bigcommerce.com/s-9wn8an8lno/products/1275/images/7832/T4iMK1qY__32937.1630046750.386.513.png?c=1,17.62,9338817019153,,9338817019153,12,5,,[]
