sku,name,weight,width,depth,height
//9332519113386,Yummy Sweets Light Up House,300,0,0,0
/731509753899,KISS Tintation Semi-Permanent Colour Treatment T553 Crimson 148ml,300,6,6,18
//3282779028950,Klorane Conditioner with Quinine 150ml,256,8.2,11.5,3.6
3607343191005,Fragrance - Katy Perry Meow Eau de Parfum 100ml,100,0,0,0
034533313009,Manicare Nail Scissors Straight 31300,0,0,0,0
//9312658500926,In Essence ie: Sleep Essential Oil Mist 100ml,200,4,3,10
3337875533317,La Roche Posay Effaclar Anti-Acne Purifying Mask 100ml,132,6.2,14.8,4
//9332402030714,MOR Majestic Moonlight Marshmallow Bath & Body Set,500,20,20,20
//9300839461616,Innoxa Free & Easy Fragrance Free Deodorant 100ml,0,0,0,0
9325024001019,12Reasons Keratin Hair Treatment Mask 250ml,400,12,12,8
9335955005932,A Bit Hippy Oil Cleanser 100ml,150,7.5,8.8,13
//9319912035354,Bronchodual Cough Syrup 120ml,200,0,0,0
//885190821228,Pixi Vitamin-C Tonic,0,4,11,3.5
//3282770142044,Klorane Purifying Treatment Mask Powder with Organic Nettle & Clay 8 Pack,0,0,0,0
3282770147605,Klorane Volumizing Dry Shampoo With Organic Flax 150ml,181,7.8,17,4.3
//9338661005012,Natural Instinct Restoring Night Cream 110ml,150,0,0,0
//9338817017852,Glasshouse Fragrances Forever Florence Wild Peonies & Lily Gift Set,1000,0,0,0
//9420005375834,The Aromatherapy Co. Uplift Sweet Lime & Mandarin Hand Cream 75ml,106,4.5,16,4.5
79625074215,EcoTools 7421 Cleansing Pad,250,15,7,15
644042995575,Nature's Shield Organic Castor Oil 100ml,200,5,5,12
//9415293234376,Wild Ferns Manuka Honey Refining Facial Scrub 100ml,1000,0,0,0
9329221222819,Manicare Glam 50 Sophia 22281,0,0,0,0
//716237185815,Giovanni 2chic Ultra-Moist Hair Hydration Treatment 51ml,0,0,0,0
21965265,Avenel Floppy Towelling Hat - Maroon Large,400,20,20,20
//9311262071600,Key Sun SIA Tinted Hair Wax 100ml - Blue,0,0,0,0
7618900911819,Mavala Nail Mini 181 Blue Mint,100,3,3,7
9329221223175,Manicare Glam 61 Coco 22317,0,0,0,0
/074170471847,Sally Hansen Good Kind Pure - Island Coconut Nail Oil,150,3,3,8
//9338661000376,Natural Instinct Coffee & Coconut Foaming Face Scrub 125ml,150,0,0,0
//815857017336,Macadamia Natural Oil Luxurious Oil Treatment 125ml,120,3.8,6,12.2
688575179415,Fragrance - Vera Wang Princess Eau De Toilette Women 100ml,100,0,0,0
9343482000207,Loving Tan Purest Tanning Lotion Medium 100mL Light to Medium Skin Tones,150,11,9,15.2
//9421017764333,Trilogy Everything Balm 18ml,150,0,0,0
//8588002203619,BOOS LABS Reparex For Grey Hair Men 125ml,0,0,0,0
9338817027912,Glasshouse Fragrances A Tahaa Affair 150ml Interior Fragrance,400,8,8,12
4005800243615,Elastoplast Youth Mouthguard - Clear,100,18,3,10
3600531511654,Essie All-In-One Base & Top Coat,0,0,0,0
3401528520846,Bioderma Atoderm Huile de douche 1L,1000,8,5,20
/5011522155029,Eylure 18 Hour Lash Glue Clear 4.5ml,0,0,0,0
9325024000906,12Reasons Argan Oil Shampoo 400ml,500,10,10,17
//8716569033237,Re-Cycle-Me Safari Adventures Craft Projects,0,0,0,0
//9415293234406,Wild Ferns Manuka Honey Protective SPF15 Lip Care 12ml,1000,0,0,0
//9420005397775,The Aromatherapy Co. Limited Edition Lemon & Lime Sorbet Body Scrub 30ml,150,5,5,12
/9300607761801,Aveeno Daily Moisturising Body Wash 100ml,250,12,12,17
//9316542147860,Natio Swaying Palm Hand Care Set,500,12,17,12
5030147444103,Blue Stratos After Shave Lotion 100ml,300,7,3,15
/5011522099767,Eylure Lengthening Starter Kit 118,0,0,0,0
//9313698920101,Restoria Discreet Colour Restoring Shampoo 147ml,0,0,0,0
//22200266,Dry Mouth Gel - Mint 40g,0,0,0,0
9300710004147,Euky Bear Sleepy Time Baby Essential Oil Blend 15ml,100,5,3,10
9300711576100,Nurofen For Children 5-12yrs Pain and Fever Relief Orange 100ml,150,5,5,12
//9314839018985,Ego Sunsense SPF 50+ Ultra 125ml,300,12,5,20
3504105034405,Mustela Foam Shampoo for Newborns 150ml,300,10,5,18
//885190821099,Pixi Rose Tonic 100ml,0,4,11,3.5
//5202236206309,ERRE DUE Lip Shine Gloss 201 Starlight,0,0,0,0
//9314839018343,Ego SunSense Anti-Ageing Face SPF 50+ 100ml,0,0,0,0
034533416007,Manicare Chiropody Pliers 120mm 41600,0,0,0,0
//813424021380,Acure Incredibly Clear Charcoal Lemonade Cleansing Clay 118ml,100,12,8,3
//3282770000030,Klorane Leave-In Hair Spray with Flax Fiber 125ml,160,4,17.7,4
93469906,Plunkett's NS 8 Deo Foot Fresh Spray 100ml Pump,126,3.8,16.7,3.8
9310460171198,Lady Jayne Luxe Scrunchies 3 Pack 17119,0,0,0,0
9342126000849,The Jojoba Company Citrus Gel Cleanser 125mL,150,9,9,15.2
/9314807077136,AquaSun ACTIVE SPF 50 150mL Tube,250,6.8,9,12
//814591012584,Ouidad Advanced Climate Control Feather Light Styling Cream 168ml,0,0,0,0
/9356419000546,Growth Bomb AHA Scalp Exfoliant 100ml,200,10,10,14
9310460110272,Lady Jayne Fashion Pins 11027,0,0,0,0
//5202236201519,ERRE DUE Drama Sized Mascara 501,0,0,0,0
5029354010355,AloeDent Triple Action Toothpaste 100ml,150,10,3,3
9314839019555,Ego Azclear Action Day Moisturiser SPF 30 120ml,156,6.5,3.1,15
9316542149031,Natio Quick Dry Moisturising Sunscreen SPF 50+ 100ml,250,5,3,10
//9332059001303,Gaia Newborn Foaming Wash & Shampoo 150ml,0,0,0,0
9316542111458,Natio Aromatherapy Evening Primrose Moisturising Face Lotion 125ml,250,7,7,18
9309000707003,Outside Beauty & SkinCare Face Mist SPF+ 50 100mL,150,9,9,15.2
